Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Risk_Simple,Risk_Score_100,High_Risk_Flag,Skill_Intensity
Marketing Manager,58152,13,Master's,0.82,1.05,0.48,Medium,0.29,0.3,0.38,0.84,0.97,0.44,0.39,0.85,0.43,0.55,Medio,48.0,0,0.544
Lawyer,95063,3,PhD,0.74,1.03,0.62,Medium,0.78,0.22,0.72,0.8,0.35,0.17,0.0,0.45,0.35,0.55,Medio,62.0,0,0.439
Retail Worker,125761,21,PhD,0.86,0.76,0.76,High,0.48,0.5,0.22,0.27,0.17,0.72,0.77,0.46,0.71,0.74,Alto,76.0,1,0.504
Graphic Designer,31645,4,High School,0.97,1.32,0.38,Medium,0.19,0.13,0.14,0.75,0.47,0.78,0.75,0.6,0.69,0.02,Medio,38.0,0,0.452
Customer Support,73262,2,PhD,0.64,0.51,0.71,High,0.85,0.68,0.27,0.69,0.79,0.31,0.04,0.93,0.35,0.11,Alto,71.0,1,0.502
Retail Worker,51730,25,High School,0.77,0.72,0.77,High,0.24,0.99,0.2,0.58,0.93,0.15,0.97,0.95,0.88,0.21,Alto,77.0,1,0.61
Security Guard,123878,5,Bachelor's,0.76,0.77,0.82,High,0.82,0.27,0.19,0.68,0.53,0.51,0.26,0.03,0.41,0.11,Alto,82.0,1,0.381
Software Engineer,89300,11,High School,0.04,0.93,0.32,Medium,0.1,0.66,0.65,0.03,0.0,0.08,0.76,0.58,0.04,0.49,Bajo,32.0,0,0.339
Data Scientist,131971,5,Bachelor's,0.87,1.43,0.43,Medium,0.14,0.24,0.78,0.97,0.47,0.31,0.43,0.3,0.26,0.59,Medio,43.0,0,0.449
HR Specialist,113441,10,Bachelor's,0.26,1.16,0.31,Medium,0.08,0.29,0.88,0.76,0.02,0.5,0.27,0.65,0.72,0.86,Bajo,31.0,0,0.503
Customer Support,87589,15,Bachelor's,0.99,1.48,0.92,High,0.57,0.4,0.36,0.01,0.25,0.72,0.6,0.92,0.05,0.16,Alto,92.0,1,0.404
Graphic Designer,113446,8,High School,0.73,1.31,0.64,Medium,0.99,0.29,0.71,0.12,0.41,0.85,0.37,0.59,0.5,0.65,Medio,64.0,0,0.548
Retail Worker,135301,25,Master's,0.06,1.07,0.92,High,0.48,0.08,0.56,0.33,0.15,0.85,0.52,0.93,0.81,0.69,Alto,92.0,1,0.54
Lawyer,118552,4,Master's,0.43,0.7,0.66,Medium,0.17,0.29,0.52,0.26,0.21,0.6,0.09,0.06,0.37,0.72,Medio,66.0,0,0.329
Marketing Manager,148977,29,PhD,0.42,1.07,0.45,Medium,0.94,0.05,0.67,0.89,0.8,0.18,0.3,0.72,0.08,0.81,Medio,45.0,0,0.544
UX Researcher,48715,17,Master's,0.73,0.6,0.59,Medium,0.68,0.83,0.04,0.02,0.37,0.15,0.56,0.92,0.39,0.84,Medio,59.0,0,0.48
HR Specialist,147045,19,PhD,0.17,0.53,0.43,Medium,0.91,0.1,0.61,0.45,0.94,0.12,0.21,0.03,0.43,0.28,Medio,43.0,0,0.408
Software Engineer,40196,16,High School,0.6,1.11,0.51,Medium,0.09,0.45,1.0,0.84,0.89,0.82,0.1,0.23,0.0,0.3,Medio,51.0,0,0.472
Truck Driver,141054,25,PhD,0.47,1.18,0.92,High,0.75,0.94,0.05,0.01,0.66,0.29,0.25,0.33,0.27,0.51,Alto,92.0,1,0.406
Customer Support,132785,24,PhD,0.51,1.17,0.8,High,0.25,0.17,0.35,0.74,0.76,0.67,0.23,0.59,0.57,0.48,Alto,80.0,1,0.481
UX Researcher,123249,23,Master's,0.49,1.07,0.59,Medium,0.11,0.75,0.14,0.07,0.98,0.96,0.06,0.44,0.19,0.49,Medio,59.0,0,0.419
Research Scientist,62500,21,Bachelor's,0.95,1.13,0.14,Low,0.6,0.31,0.91,0.87,0.56,0.32,0.29,0.03,0.82,0.45,Bajo,14.0,0,0.516
Customer Support,136128,9,Bachelor's,0.49,1.41,0.91,High,0.15,0.71,0.44,0.25,0.69,0.74,0.18,0.91,0.75,0.93,Alto,91.0,1,0.575
AI Engineer,142109,8,Bachelor's,0.94,0.87,0.06,Low,0.76,0.7,0.6,0.49,0.03,0.62,0.42,0.56,0.43,0.97,Bajo,6.0,0,0.558
UX Researcher,87737,25,Master's,0.75,1.44,0.54,Medium,0.01,0.03,0.7,0.28,0.58,0.2,0.27,0.5,0.98,0.62,Medio,54.0,0,0.417
Teacher,121903,0,Master's,0.96,0.71,0.13,Low,0.77,0.87,0.52,0.99,0.01,0.3,0.62,0.47,0.12,0.37,Bajo,13.0,0,0.504
AI Engineer,141654,27,High School,0.64,1.39,0.27,Low,0.7,0.47,0.51,0.14,0.34,0.19,0.82,0.91,0.54,0.73,Bajo,27.0,0,0.535
UX Researcher,50662,20,High School,0.61,1.2,0.48,Medium,0.24,0.88,0.74,0.9,0.82,0.99,0.19,0.09,0.34,0.13,Medio,48.0,0,0.532
Software Engineer,116755,1,Bachelor's,0.44,0.56,0.69,Medium,0.59,0.56,0.66,0.5,0.03,0.61,0.72,0.42,0.76,0.23,Alto,69.0,0,0.508
Data Scientist,133719,6,High School,0.16,0.87,0.64,Medium,0.83,0.38,0.59,0.72,0.24,0.17,0.97,0.62,0.98,0.34,Medio,64.0,0,0.584
HR Specialist,127427,21,Bachelor's,0.34,1.04,0.57,Medium,0.63,0.46,0.56,0.28,0.02,0.63,0.25,0.67,0.75,0.92,Medio,57.0,0,0.517
Chef,130628,7,PhD,0.01,1.49,0.57,Medium,0.64,0.02,0.86,0.15,0.84,0.02,0.65,0.43,0.2,0.11,Medio,57.0,0,0.392
Teacher,43686,3,High School,0.12,0.99,0.21,Low,0.83,0.68,0.07,0.31,0.29,0.92,0.87,0.37,0.07,0.89,Bajo,21.0,0,0.53
Research Scientist,57313,26,PhD,0.85,1.35,0.17,Low,0.18,0.48,0.49,0.49,0.54,0.26,0.37,0.43,0.13,0.46,Bajo,17.0,0,0.383
UX Researcher,91404,6,Master's,0.83,0.91,0.51,Medium,0.03,0.67,0.4,0.45,0.87,0.46,0.02,0.23,0.48,0.42,Medio,51.0,0,0.403
Financial Analyst,109794,20,Bachelor's,0.54,1.19,0.49,Medium,0.44,0.45,0.41,0.54,0.25,0.89,0.33,0.15,0.1,0.01,Medio,49.0,0,0.357
HR Specialist,49416,8,PhD,0.19,0.52,0.51,Medium,0.68,0.09,0.46,0.74,0.99,0.67,0.24,0.72,0.6,0.21,Medio,51.0,0,0.54
Nurse,56162,9,High School,0.43,1.46,0.23,Low,0.64,0.73,0.48,0.51,0.85,0.68,0.9,0.89,0.98,0.7,Bajo,23.0,0,0.736
Customer Support,85420,4,Bachelor's,0.17,1.21,0.77,High,0.28,0.24,0.88,0.87,0.63,0.47,0.67,0.61,0.42,0.38,Alto,77.0,1,0.545
Financial Analyst,82948,4,Bachelor's,0.59,1.15,0.48,Medium,0.97,0.08,0.35,0.42,0.02,0.36,0.27,0.51,0.34,0.73,Medio,48.0,0,0.405
Nurse,91336,8,PhD,0.16,1.29,0.3,Low,0.02,0.7,0.25,0.04,0.4,0.94,0.01,0.59,0.5,0.87,Bajo,30.0,0,0.432
HR Specialist,104474,16,Master's,0.68,1.18,0.57,Medium,0.94,0.82,0.04,0.47,0.4,0.31,0.45,0.38,0.43,0.98,Medio,57.0,0,0.522
Customer Support,72628,8,Master's,0.92,0.98,0.86,High,0.83,0.36,0.43,0.41,0.37,0.93,0.83,0.11,0.11,0.43,Alto,86.0,1,0.481
Research Scientist,135494,19,High School,0.62,0.64,0.18,Low,0.01,0.32,0.68,0.48,0.98,0.87,0.36,0.05,0.85,0.91,Bajo,18.0,0,0.551
Mechanic,71751,2,High School,0.37,0.58,0.59,Medium,0.0,0.05,0.0,0.65,0.42,0.3,0.91,0.19,0.39,0.94,Medio,59.0,0,0.385
Truck Driver,86087,1,High School,0.55,0.58,0.9,High,0.42,0.8,0.25,0.42,0.79,0.97,0.06,0.81,0.3,0.55,Alto,90.0,1,0.537
Nurse,127425,29,High School,0.61,0.85,0.13,Low,0.04,0.15,0.92,1.0,0.78,0.29,0.4,0.74,0.97,0.46,Bajo,13.0,0,0.575
Data Scientist,133587,16,Bachelor's,0.43,0.99,0.67,Medium,0.52,0.49,0.58,0.69,0.11,0.82,0.44,0.07,0.79,0.38,Alto,67.0,0,0.489
Security Guard,140373,5,Master's,0.63,1.38,0.92,High,0.96,0.87,0.0,0.38,0.82,0.37,0.6,0.61,0.37,0.9,Alto,92.0,1,0.588
AI Engineer,133080,14,Bachelor's,0.13,1.09,0.21,Low,0.05,0.24,0.8,0.05,0.86,0.66,0.43,0.35,0.02,0.83,Bajo,21.0,0,0.429
Chef,123012,20,PhD,0.31,1.07,0.4,Medium,0.5,0.81,0.47,0.95,0.85,0.33,0.4,0.42,0.63,0.29,Medio,40.0,0,0.565
Financial Analyst,76629,11,Master's,0.61,0.9,0.56,Medium,0.4,0.82,0.57,0.04,0.18,0.86,0.56,0.95,0.07,0.3,Medio,56.0,0,0.475
Financial Analyst,33811,3,PhD,0.55,0.88,0.36,Medium,0.64,0.54,0.27,0.48,0.75,0.21,0.29,0.35,0.75,0.85,Medio,36.0,0,0.513
Teacher,95283,4,High School,0.3,1.39,0.3,Low,0.67,0.99,0.66,0.73,0.39,0.43,0.14,0.82,0.93,0.62,Bajo,30.0,0,0.638
Nurse,113205,1,High School,0.15,0.77,0.11,Low,0.61,0.95,0.05,0.0,0.6,0.28,0.88,0.33,0.29,0.27,Bajo,11.0,0,0.426
HR Specialist,100453,28,Bachelor's,0.58,0.67,0.47,Medium,0.46,0.02,0.02,0.52,0.7,0.94,0.18,0.1,0.05,0.44,Medio,47.0,0,0.343
Nurse,68397,14,Master's,0.84,1.18,0.1,Low,0.46,0.91,0.33,0.5,0.96,0.73,0.75,0.25,0.41,0.08,Bajo,10.0,0,0.538
Lawyer,113824,10,Bachelor's,0.1,1.34,0.63,Medium,0.53,0.14,0.03,0.8,0.6,0.71,0.3,0.51,0.75,0.46,Medio,63.0,0,0.483
Data Scientist,50758,26,Bachelor's,0.79,0.72,0.33,Medium,0.53,0.06,0.77,0.72,0.88,0.64,0.07,0.25,0.81,0.17,Bajo,33.0,0,0.49
Mechanic,135900,8,Master's,0.78,0.83,0.43,Medium,0.56,0.86,0.22,0.94,0.6,0.99,0.09,0.13,0.83,0.86,Medio,43.0,0,0.608
AI Engineer,133613,11,PhD,0.71,1.37,0.06,Low,0.57,0.85,0.4,0.3,0.8,0.34,0.0,0.96,0.59,0.82,Bajo,6.0,0,0.563
HR Specialist,93115,10,High School,0.07,0.67,0.42,Medium,0.32,0.66,0.62,0.49,0.21,0.38,0.54,0.47,0.13,0.65,Medio,42.0,0,0.447
Research Scientist,129683,11,Master's,0.38,1.21,0.06,Low,0.57,0.33,0.01,0.19,0.94,0.52,1.0,0.52,0.54,0.39,Bajo,6.0,0,0.501
Marketing Manager,83013,15,Bachelor's,0.25,0.84,0.48,Medium,0.19,0.22,0.27,0.45,0.65,0.86,0.29,0.18,0.38,0.89,Medio,48.0,0,0.438
Teacher,45233,16,High School,0.68,0.98,0.09,Low,0.32,0.22,0.88,0.48,0.56,0.59,0.64,0.5,0.02,0.33,Bajo,9.0,0,0.454
Nurse,50765,19,PhD,0.68,0.56,0.19,Low,0.21,0.95,0.34,0.33,0.92,0.42,0.96,0.02,0.31,0.67,Bajo,19.0,0,0.513
Retail Worker,108766,18,Bachelor's,0.14,0.85,0.8,High,0.51,0.93,0.87,0.13,0.17,0.36,0.29,0.61,0.9,0.96,Alto,80.0,1,0.573
Truck Driver,64297,16,High School,0.84,1.03,0.75,High,0.52,0.56,0.74,0.22,0.37,0.36,0.96,0.44,0.76,0.75,Alto,75.0,1,0.568
HR Specialist,76126,10,High School,0.57,1.39,0.49,Medium,0.95,0.21,0.07,0.89,0.85,0.99,0.68,0.94,0.83,0.84,Medio,49.0,0,0.725
Teacher,112694,27,Master's,0.38,1.43,0.16,Low,0.54,0.45,0.56,0.47,0.05,0.88,0.44,0.59,0.14,0.0,Bajo,16.0,0,0.412
Doctor,117287,21,High School,0.7,0.6,0.28,Low,0.22,0.2,0.18,0.01,0.77,0.88,0.61,0.19,0.29,0.48,Bajo,28.0,0,0.383
Nurse,31082,12,Bachelor's,0.25,1.23,0.16,Low,0.3,0.46,0.07,0.8,0.24,0.73,0.07,0.96,0.19,0.88,Bajo,16.0,0,0.47
Security Guard,137252,23,Bachelor's,0.97,0.98,0.88,High,0.37,0.18,0.44,0.17,0.98,0.1,0.59,0.63,0.54,0.66,Alto,88.0,1,0.466
Financial Analyst,31511,17,Bachelor's,0.56,0.79,0.68,Medium,0.76,0.97,0.04,0.29,0.2,0.01,0.24,0.68,0.23,0.51,Alto,68.0,0,0.393
Truck Driver,33145,9,Master's,0.69,0.89,0.79,High,0.46,0.18,0.63,0.36,0.85,0.76,0.61,0.36,0.21,0.78,Alto,79.0,1,0.52
Software Engineer,115642,19,PhD,0.22,0.7,0.37,Medium,0.78,0.23,0.53,0.45,0.58,0.88,0.87,0.45,0.02,0.43,Medio,37.0,0,0.522
Doctor,128303,9,Bachelor's,0.56,1.15,0.09,Low,0.65,0.18,0.75,0.34,0.71,0.05,0.41,0.71,0.23,0.8,Bajo,9.0,0,0.483
Construction Worker,81142,16,Bachelor's,0.59,0.85,0.82,High,0.6,0.47,0.7,0.43,0.2,0.21,0.01,0.3,0.75,0.79,Alto,82.0,1,0.446
Research Scientist,89817,13,PhD,0.96,1.0,0.28,Low,0.71,0.72,0.09,0.22,0.01,0.72,0.34,0.79,0.34,0.82,Bajo,28.0,0,0.476
Lawyer,124410,0,Master's,0.17,0.84,0.46,Medium,0.35,0.76,0.1,0.35,0.84,0.07,0.94,0.99,0.09,0.29,Medio,46.0,0,0.478
Chef,138139,15,Bachelor's,0.78,1.1,0.56,Medium,0.76,0.12,0.83,0.71,0.58,0.89,0.7,0.2,0.43,0.49,Medio,56.0,0,0.571
Research Scientist,78657,18,PhD,0.95,0.63,0.22,Low,0.51,0.03,0.92,0.85,0.52,0.23,0.12,0.36,0.26,0.51,Bajo,22.0,0,0.431
Truck Driver,69309,8,PhD,0.57,1.39,0.86,High,0.48,0.85,0.47,0.87,0.29,0.13,0.86,0.59,0.89,0.94,Alto,86.0,1,0.637
UX Researcher,68669,17,Master's,0.49,1.36,0.34,Medium,0.45,0.29,0.1,0.76,0.51,0.56,0.41,0.46,0.12,0.67,Medio,34.0,0,0.433
Truck Driver,87033,27,PhD,0.82,0.7,0.75,High,0.65,0.85,0.47,0.73,1.0,0.99,0.74,0.74,0.25,0.83,Alto,75.0,1,0.725
Teacher,80658,5,PhD,0.96,0.58,0.16,Low,0.56,0.41,0.21,0.59,0.76,0.64,0.23,0.73,0.26,0.18,Bajo,16.0,0,0.457
Software Engineer,136081,29,High School,0.84,0.98,0.51,Medium,0.3,0.49,0.13,0.96,0.8,0.67,0.54,0.79,0.49,0.3,Medio,51.0,0,0.547
Software Engineer,48728,11,Bachelor's,0.65,1.43,0.36,Medium,0.18,0.43,0.81,0.29,0.25,0.62,0.54,0.06,0.08,0.64,Medio,36.0,0,0.39
HR Specialist,52286,15,High School,0.97,1.18,0.3,Low,0.48,0.41,0.11,0.92,0.81,0.23,0.26,0.03,0.3,0.58,Bajo,30.0,0,0.413
Financial Analyst,55727,28,PhD,0.19,1.4,0.38,Medium,0.03,0.02,0.62,0.66,0.31,0.32,0.34,0.68,0.06,0.93,Medio,38.0,0,0.397
Marketing Manager,104638,10,Master's,1.0,0.67,0.61,Medium,0.22,0.08,0.87,0.86,0.4,0.7,0.56,0.85,0.32,0.52,Medio,61.0,0,0.538
Data Scientist,119363,1,PhD,0.35,1.39,0.37,Medium,0.15,0.58,0.66,0.19,0.39,0.95,0.25,0.67,0.74,0.45,Medio,37.0,0,0.503
Construction Worker,141597,26,Bachelor's,0.74,0.96,0.84,High,0.69,0.59,0.88,0.36,0.3,0.21,0.04,0.04,0.87,0.68,Alto,84.0,1,0.466
Marketing Manager,72756,18,PhD,0.61,1.35,0.49,Medium,0.87,0.36,0.93,0.7,0.26,0.56,0.53,0.14,0.59,0.31,Medio,49.0,0,0.525
Research Scientist,77774,10,High School,0.95,1.14,0.27,Low,0.68,0.36,0.51,0.68,0.96,0.25,0.87,0.92,0.67,0.93,Bajo,27.0,0,0.683
Retail Worker,119865,12,Master's,0.95,1.2,0.71,High,0.91,0.48,0.46,0.57,0.15,0.47,0.83,0.02,0.27,0.0,Alto,71.0,1,0.416
AI Engineer,33692,25,High School,0.73,1.3,0.29,Low,0.61,0.25,0.92,0.78,0.57,0.7,0.92,0.71,0.37,0.71,Bajo,29.0,0,0.654
Research Scientist,139419,4,PhD,0.39,0.91,0.09,Low,0.02,0.13,0.65,0.8,0.99,0.35,0.6,0.94,0.17,0.72,Bajo,9.0,0,0.537
Truck Driver,48782,6,Bachelor's,0.09,1.36,0.9,High,0.03,0.09,0.05,0.33,0.51,0.53,0.27,0.91,0.37,0.05,Alto,90.0,1,0.314
Retail Worker,140349,14,Master's,0.53,0.91,0.77,High,0.13,0.82,1.0,0.33,0.38,0.62,0.72,0.39,0.9,0.56,Alto,77.0,1,0.585
Software Engineer,80075,22,Bachelor's,0.65,1.45,0.62,Medium,0.04,0.33,0.47,0.31,0.7,0.83,0.73,0.99,0.27,0.87,Medio,62.0,0,0.554
Mechanic,120629,22,Bachelor's,0.36,1.23,0.34,Medium,0.79,0.53,0.29,0.66,0.64,0.21,0.03,0.43,0.57,0.88,Medio,34.0,0,0.503
AI Engineer,135899,24,Bachelor's,0.53,1.25,0.16,Low,0.75,0.2,0.37,0.63,0.02,0.72,0.84,0.4,0.45,0.85,Bajo,16.0,0,0.523
Marketing Manager,115333,1,Master's,0.29,0.82,0.57,Medium,0.56,0.16,0.31,0.9,0.69,0.99,0.77,0.94,0.22,0.77,Medio,57.0,0,0.631
Mechanic,93908,22,Master's,0.67,0.97,0.44,Medium,0.86,0.85,0.02,0.61,0.37,0.42,0.83,0.31,0.94,0.18,Medio,44.0,0,0.539
Retail Worker,41564,3,Master's,0.67,0.75,0.78,High,0.83,0.76,0.33,0.53,0.06,0.21,0.49,0.09,0.84,0.72,Alto,78.0,1,0.486
Truck Driver,144507,9,High School,0.56,1.09,0.79,High,0.28,0.27,0.17,0.33,0.2,0.63,0.57,0.38,0.33,0.24,Alto,79.0,1,0.34
Graphic Designer,147679,29,Master's,0.92,1.19,0.6,Medium,0.83,0.35,0.06,0.62,0.19,0.57,0.74,0.78,0.3,0.51,Medio,60.0,0,0.495
Research Scientist,132811,12,Master's,0.82,1.26,0.3,Low,0.01,0.44,0.26,0.12,0.91,1.0,0.18,0.04,0.28,0.83,Bajo,30.0,0,0.407
UX Researcher,54940,26,Master's,0.06,0.55,0.47,Medium,0.93,0.29,0.43,0.1,0.49,0.7,0.27,0.3,0.84,0.01,Medio,47.0,0,0.436
Software Engineer,144326,14,PhD,0.39,0.8,0.56,Medium,0.83,0.56,0.03,0.46,0.46,0.54,0.67,0.02,0.5,0.59,Medio,56.0,0,0.466
Nurse,30511,18,Master's,0.67,0.73,0.13,Low,0.96,0.35,0.35,0.6,0.97,0.98,0.58,0.0,0.9,0.57,Bajo,13.0,0,0.626
Software Engineer,49359,26,Bachelor's,0.9,0.77,0.41,Medium,0.3,0.61,0.44,0.73,0.89,0.67,0.2,0.93,0.26,0.15,Medio,41.0,0,0.518
Mechanic,36265,15,High School,0.56,0.61,0.36,Medium,0.3,0.28,0.6,0.82,0.76,0.26,0.25,0.97,0.01,0.88,Medio,36.0,0,0.513
Lawyer,122313,25,Master's,0.95,0.84,0.48,Medium,0.71,0.59,0.32,0.55,0.73,0.04,0.01,0.46,0.13,0.66,Medio,48.0,0,0.42
Chef,39280,1,PhD,0.43,0.7,0.52,Medium,0.12,0.02,0.05,0.95,0.14,0.71,0.07,0.11,0.51,0.46,Medio,52.0,0,0.314
Construction Worker,80281,26,Bachelor's,0.94,1.28,0.85,High,0.45,0.36,0.95,0.6,0.58,0.23,0.05,0.95,0.31,0.44,Alto,85.0,1,0.492
UX Researcher,98354,16,High School,0.84,0.53,0.63,Medium,0.14,0.89,0.73,0.16,0.57,0.31,0.18,0.86,0.4,0.4,Medio,63.0,0,0.464
Financial Analyst,140951,11,High School,0.38,1.37,0.45,Medium,0.95,0.95,0.14,0.18,0.86,0.39,0.0,0.27,0.6,0.8,Medio,45.0,0,0.514
Retail Worker,145131,22,Master's,0.11,1.42,0.89,High,0.59,0.77,0.43,0.76,0.37,0.24,0.73,0.42,0.98,0.35,Alto,89.0,1,0.564
Nurse,51529,7,Bachelor's,0.93,0.74,0.25,Low,0.43,0.92,0.45,0.74,0.47,0.23,0.2,0.43,0.76,0.61,Bajo,25.0,0,0.524
Retail Worker,30594,25,Master's,0.28,0.98,0.71,High,0.82,0.99,0.41,0.01,0.17,0.65,0.61,0.79,0.25,0.76,Alto,71.0,1,0.546
Retail Worker,142770,22,Master's,0.32,1.05,0.74,High,0.45,0.88,0.42,0.84,0.59,0.19,0.58,0.51,0.4,0.12,Alto,74.0,1,0.498
Marketing Manager,122995,5,High School,0.07,0.6,0.47,Medium,0.31,0.93,0.38,0.76,0.53,0.7,0.26,0.94,0.53,0.83,Medio,47.0,0,0.617
Research Scientist,137126,7,Master's,0.1,1.17,0.05,Low,0.48,0.19,0.63,0.98,0.46,0.82,0.51,0.5,0.93,0.89,Bajo,5.0,0,0.639
Customer Support,44372,26,Bachelor's,0.12,0.8,0.94,High,0.63,0.55,0.71,0.42,0.76,0.39,0.83,0.27,0.28,0.52,Alto,94.0,1,0.536
Nurse,53795,7,Master's,0.65,0.86,0.11,Low,0.47,0.56,0.14,0.56,0.32,0.39,0.28,0.93,0.68,0.26,Bajo,11.0,0,0.459
Security Guard,80697,15,Bachelor's,0.85,0.9,0.91,High,0.15,0.82,0.54,0.22,0.41,0.99,0.78,0.58,0.12,0.42,Alto,91.0,1,0.503
Graphic Designer,118078,13,PhD,0.07,1.04,0.66,Medium,0.68,0.25,0.57,0.94,0.72,0.69,0.97,0.8,0.14,0.35,Medio,66.0,0,0.611
Nurse,125773,28,Master's,0.49,0.61,0.16,Low,0.7,1.0,0.32,0.51,0.88,0.36,0.11,0.95,0.49,0.5,Bajo,16.0,0,0.582
Data Scientist,93766,10,PhD,0.0,1.43,0.44,Medium,0.4,0.17,0.38,0.8,0.8,0.94,0.4,0.71,0.51,0.8,Medio,44.0,0,0.591
Truck Driver,105569,0,Bachelor's,0.37,0.84,0.76,High,0.58,0.96,0.2,0.1,0.12,0.78,0.35,0.22,0.35,0.65,Alto,76.0,1,0.431
Teacher,45782,19,Bachelor's,0.74,0.84,0.16,Low,0.1,0.07,0.46,0.3,0.61,0.04,0.12,0.87,0.57,0.71,Bajo,16.0,0,0.385
Construction Worker,127288,12,High School,0.46,1.26,0.83,High,0.22,0.34,0.49,0.32,0.34,0.34,0.12,0.08,0.05,0.11,Alto,83.0,1,0.241
Security Guard,107865,2,Master's,0.59,0.69,0.92,High,0.81,0.52,0.72,0.37,0.04,0.9,0.13,0.95,0.57,0.31,Alto,92.0,1,0.532
AI Engineer,75986,27,PhD,0.5,0.52,0.14,Low,0.74,0.51,0.24,0.34,0.86,0.53,0.53,0.96,0.32,0.48,Bajo,14.0,0,0.551
HR Specialist,60276,19,Master's,0.76,0.77,0.36,Medium,0.7,0.26,0.92,0.13,0.32,0.05,0.7,0.89,0.64,0.94,Medio,36.0,0,0.555
Financial Analyst,137294,2,High School,0.09,1.34,0.64,Medium,0.83,0.8,0.36,0.22,0.93,0.31,0.4,0.7,0.29,0.82,Medio,64.0,0,0.566
Graphic Designer,147272,3,PhD,0.79,1.1,0.53,Medium,0.46,0.28,0.46,0.45,0.58,0.28,0.08,0.15,0.7,0.02,Medio,53.0,0,0.346
Mechanic,45819,24,PhD,0.62,0.98,0.46,Medium,0.99,0.82,0.43,0.73,0.27,0.1,0.35,0.4,0.02,0.81,Medio,46.0,0,0.492
AI Engineer,36473,18,Bachelor's,0.58,0.57,0.09,Low,0.89,0.61,0.95,1.0,0.37,0.3,0.86,1.0,0.63,0.8,Bajo,9.0,0,0.741
Retail Worker,62556,27,Master's,0.36,1.07,0.91,High,0.69,0.02,0.34,0.14,0.23,0.91,0.04,0.22,0.31,0.62,Alto,91.0,1,0.352
Research Scientist,88209,7,Bachelor's,0.22,0.66,0.11,Low,0.5,0.27,0.95,0.46,0.06,0.73,0.33,0.65,0.28,0.57,Bajo,11.0,0,0.48
Lawyer,147067,23,PhD,0.93,0.76,0.43,Medium,0.46,0.93,0.9,0.09,0.13,0.5,0.11,0.35,0.15,0.64,Medio,43.0,0,0.426
Lawyer,38699,3,High School,1.0,0.88,0.54,Medium,0.86,0.12,0.69,0.41,0.21,0.4,0.08,0.7,0.25,0.31,Medio,54.0,0,0.403
Data Scientist,107593,25,Master's,0.86,0.99,0.53,Medium,0.57,0.41,0.19,0.75,0.13,0.1,0.71,0.21,0.31,0.48,Medio,53.0,0,0.386
Security Guard,75076,18,PhD,0.71,1.12,0.86,High,0.71,0.29,0.32,0.44,0.31,0.98,0.81,0.16,0.01,0.04,Alto,86.0,1,0.407
Software Engineer,91743,6,Bachelor's,0.11,1.03,0.64,Medium,0.74,0.22,0.4,0.51,0.81,0.84,0.91,0.51,0.69,0.11,Medio,64.0,0,0.574
Graphic Designer,80924,10,PhD,0.25,0.93,0.55,Medium,0.26,0.05,0.01,0.02,0.01,0.11,0.24,0.22,0.99,0.31,Medio,55.0,0,0.222
Research Scientist,72500,19,PhD,0.55,1.36,0.22,Low,0.3,0.56,0.71,0.73,0.67,0.87,0.87,0.58,0.43,0.64,Bajo,22.0,0,0.636
Data Scientist,52380,16,PhD,0.01,1.49,0.37,Medium,0.47,0.87,0.23,0.48,0.13,0.4,0.18,0.36,0.37,0.99,Medio,37.0,0,0.448
Graphic Designer,34355,5,Bachelor's,0.11,1.23,0.32,Medium,0.03,0.11,0.97,0.94,0.19,0.16,0.24,0.52,0.57,0.22,Bajo,32.0,0,0.395
UX Researcher,32035,15,Master's,0.31,1.42,0.56,Medium,0.44,0.79,0.82,0.29,0.34,0.94,0.16,0.04,0.45,0.8,Medio,56.0,0,0.507
HR Specialist,32665,17,PhD,0.92,1.03,0.34,Medium,0.59,0.78,0.09,0.17,0.01,0.59,0.89,0.67,0.98,0.06,Medio,34.0,0,0.483
Financial Analyst,100739,14,Bachelor's,0.81,0.81,0.69,Medium,0.29,0.89,0.88,0.76,0.56,0.12,0.53,0.36,0.79,0.76,Alto,69.0,0,0.594
Doctor,128560,24,Master's,0.71,0.98,0.2,Low,0.99,0.6,0.79,0.73,0.7,0.72,0.45,0.47,0.47,0.03,Bajo,20.0,0,0.595
Data Scientist,59974,11,Master's,0.15,1.39,0.41,Medium,0.14,0.12,0.7,0.01,0.47,0.12,0.85,0.96,0.96,0.44,Medio,41.0,0,0.477
Teacher,90521,1,High School,0.6,0.85,0.16,Low,0.06,0.8,0.24,0.46,0.48,0.56,0.82,0.69,0.66,0.53,Bajo,16.0,0,0.53
Software Engineer,66476,11,Master's,0.4,1.46,0.7,Medium,0.73,0.23,0.1,0.41,0.86,0.72,0.88,0.62,0.13,0.11,Alto,70.0,0,0.479
Software Engineer,82271,11,PhD,0.24,1.23,0.57,Medium,0.32,0.18,0.1,0.74,0.45,0.32,0.86,0.59,0.52,0.74,Medio,57.0,0,0.482
Chef,33743,23,Master's,0.69,0.94,0.45,Medium,0.77,0.52,0.7,0.89,0.92,0.28,0.19,0.26,0.75,0.37,Medio,45.0,0,0.565
